valid_time,u10,v10,latitude,longitude
2025-01-01 00:00:00,-1.2938385,-9.929825,80.25,13.0
2025-01-01 01:00:00,-1.3288879,-10.098633,80.25,13.0
2025-01-01 02:00:00,-1.6864471,-10.409271,80.25,13.0
2025-01-01 03:00:00,-2.0127563,-10.697144,80.25,13.0
2025-01-01 04:00:00,-2.3495483,-10.934967,80.25,13.0
2025-01-01 05:00:00,-2.649765,-11.2473755,80.25,13.0
2025-01-01 06:00:00,-3.0044708,-11.321274,80.25,13.0
2025-01-01 07:00:00,-3.2216187,-11.551453,80.25,13.0
2025-01-01 08:00:00,-3.7608032,-11.753647,80.25,13.0
2025-01-01 09:00:00,-4.012558,-12.018417,80.25,13.0
2025-01-01 10:00:00,-4.1460114,-10.529114,80.25,13.0
2025-01-01 11:00:00,-3.77417,-11.552292,80.25,13.0
2025-01-01 12:00:00,-3.2085876,-12.332703,80.25,13.0
2025-01-01 13:00:00,-2.6577606,-12.909302,80.25,13.0
2025-01-01 14:00:00,-2.1661987,-13.392838,80.25,13.0
2025-01-01 15:00:00,-1.5492859,-13.741806,80.25,13.0
2025-01-01 16:00:00,-1.2405243,-14.181427,80.25,13.0
2025-01-01 17:00:00,-1.3100739,-14.272873,80.25,13.0
2025-01-01 18:00:00,-1.3808899,-14.276291,80.25,13.0
2025-01-01 19:00:00,-1.4446259,-14.634415,80.25,13.0
2025-01-01 20:00:00,-1.8634338,-14.533752,80.25,13.0
2025-01-01 21:00:00,-2.3462372,-14.017578,80.25,13.0
2025-01-01 22:00:00,-5.546585,-10.964035,80.25,13.0
2025-01-01 23:00:00,-5.873474,-10.504166,80.25,13.0
2025-01-02 00:00:00,-5.9279785,-10.526337,80.25,13.0
2025-01-02 01:00:00,-5.5527954,-11.223602,80.25,13.0
2025-01-02 02:00:00,-4.9982605,-12.334702,80.25,13.0
2025-01-02 03:00:00,-5.045807,-12.537872,80.25,13.0
2025-01-02 04:00:00,-5.304886,-12.190277,80.25,13.0
2025-01-02 05:00:00,-5.547104,-12.072235,80.25,13.0
2025-01-02 06:00:00,-5.91037,-11.639008,80.25,13.0
2025-01-02 07:00:00,-6.283966,-11.311859,80.25,13.0
2025-01-02 08:00:00,-6.576523,-12.098419,80.25,13.0
2025-01-02 09:00:00,-6.387436,-12.529541,80.25,13.0
2025-01-02 10:00:00,-6.0077515,-12.829315,80.25,13.0
2025-01-02 11:00:00,-6.465851,-12.654694,80.25,13.0
2025-01-02 12:00:00,-6.9217377,-12.759354,80.25,13.0
2025-01-02 13:00:00,-7.1939545,-12.713135,80.25,13.0
2025-01-02 14:00:00,-7.3967133,-12.334702,80.25,13.0
2025-01-02 15:00:00,-7.929077,-12.1631775,80.25,13.0
2025-01-02 16:00:00,-8.268494,-12.1489105,80.25,13.0
2025-01-02 17:00:00,-8.29393,-12.429657,80.25,13.0
2025-01-02 18:00:00,-8.44342,-12.194138,80.25,13.0
2025-01-02 19:00:00,-8.62645,-12.203003,80.25,13.0
2025-01-02 20:00:00,-8.714752,-12.103607,80.25,13.0
2025-01-02 21:00:00,-8.861816,-12.090958,80.25,13.0
2025-01-02 22:00:00,-8.920975,-10.1445465,80.25,13.0
2025-01-02 23:00:00,-8.593369,-10.806183,80.25,13.0
2025-01-03 00:00:00,-8.608673,-11.131302,80.25,13.0
2025-01-03 01:00:00,-8.219849,-11.248306,80.25,13.0
2025-01-03 02:00:00,-7.6346436,-11.372498,80.25,13.0
2025-01-03 03:00:00,-7.129883,-11.462967,80.25,13.0
2025-01-03 04:00:00,-6.8982697,-11.37854,80.25,13.0
2025-01-03 05:00:00,-6.845093,-11.026825,80.25,13.0
2025-01-03 06:00:00,-6.787506,-10.556686,80.25,13.0
2025-01-03 07:00:00,-6.7041626,-10.100525,80.25,13.0
2025-01-03 08:00:00,-6.491852,-9.688522,80.25,13.0
2025-01-03 09:00:00,-6.3201904,-9.616608,80.25,13.0
2025-01-03 10:00:00,-5.9959564,-8.81488,80.25,13.0
2025-01-03 11:00:00,-6.229477,-9.254715,80.25,13.0
2025-01-03 12:00:00,-6.9789886,-9.374832,80.25,13.0
2025-01-03 13:00:00,-7.6228333,-8.6974945,80.25,13.0
2025-01-03 14:00:00,-7.6150513,-8.405914,80.25,13.0
2025-01-03 15:00:00,-8.091232,-8.2114105,80.25,13.0
2025-01-03 16:00:00,-8.3871765,-7.9155426,80.25,13.0
2025-01-03 17:00:00,-8.022049,-8.370575,80.25,13.0
2025-01-03 18:00:00,-7.729019,-8.10376,80.25,13.0
2025-01-03 19:00:00,-7.731827,-6.2053833,80.25,13.0
2025-01-03 20:00:00,-8.678055,-3.1821747,80.25,13.0
2025-01-03 21:00:00,-9.584885,-0.72969055,80.25,13.0
2025-01-03 22:00:00,-9.918945,0.6516266,80.25,13.0
2025-01-03 23:00:00,-9.935944,-0.53134155,80.25,13.0
2025-01-04 00:00:00,-10.131775,-2.5628052,80.25,13.0
2025-01-04 01:00:00,-10.2153015,-4.088684,80.25,13.0
2025-01-04 02:00:00,-10.083878,-4.2209625,80.25,13.0
2025-01-04 03:00:00,-9.87294,-3.8229523,80.25,13.0
2025-01-04 04:00:00,-9.778183,-3.176529,80.25,13.0
2025-01-04 05:00:00,-9.461685,-2.7582397,80.25,13.0
2025-01-04 06:00:00,-9.3875885,-2.4660034,80.25,13.0
2025-01-04 07:00:00,-9.263626,-2.1579437,80.25,13.0
2025-01-04 08:00:00,-8.926117,-1.6114044,80.25,13.0
2025-01-04 09:00:00,-8.5829315,-1.0198822,80.25,13.0
2025-01-04 10:00:00,-8.161209,0.15196228,80.25,13.0
2025-01-04 11:00:00,-7.735367,-0.5761719,80.25,13.0
2025-01-04 12:00:00,-8.012192,-0.910614,80.25,13.0
2025-01-04 13:00:00,-8.117783,-0.7448273,80.25,13.0
2025-01-04 14:00:00,-7.978073,-0.48693848,80.25,13.0
2025-01-04 15:00:00,-7.6375275,-0.41197205,80.25,13.0
2025-01-04 16:00:00,-7.275406,-0.30680847,80.25,13.0
2025-01-04 17:00:00,-7.0516205,-0.29974365,80.25,13.0
2025-01-04 18:00:00,-6.7632294,-0.25933838,80.25,13.0
2025-01-04 19:00:00,-6.495346,-0.34036255,80.25,13.0
2025-01-04 20:00:00,-6.16539,-0.52423096,80.25,13.0
2025-01-04 21:00:00,-6.0411377,-0.8707733,80.25,13.0
2025-01-04 22:00:00,-6.7448425,-1.4146118,80.25,13.0
2025-01-04 23:00:00,-6.8433228,-2.7221375,80.25,13.0
2025-01-05 00:00:00,-7.337921,-3.2071533,80.25,13.0
2025-01-05 01:00:00,-7.656845,-3.180191,80.25,13.0
2025-01-05 02:00:00,-7.797241,-3.1974182,80.25,13.0
