index,controller,total_energy_normalized_mean,total_energy_normalized_std,metric,average_power_normalized_mean,average_power_normalized_std,total_energy_physical_mean,total_energy_physical_std,average_power_physical_mean,average_power_physical_std,yaw_movement_count_mean,yaw_movement_count_std,oscillation_count_mean,oscillation_count_std
0,pid,157750.36290015717,52940.73018526621,total_energy_normalized,,,,,,,,,,
1,rl,128924.63827072797,47137.316855119185,total_energy_normalized,,,,,,,,,,
2,rule,159652.41906221915,51915.006797810056,total_energy_normalized,,,,,,,,,,
0,pid,,,average_power_normalized,157.75036290015717,52.94073018526623,,,,,,,,
1,rl,,,average_power_normalized,128.92463827072797,47.13731685511919,,,,,,,,
2,rule,,,average_power_normalized,159.65241906221917,51.915006797810065,,,,,,,,
0,pid,,,total_energy_physical,,,388540506.8515941,130393475.8761581,,,,,,
1,rl,,,total_energy_physical,,,317542498.02310383,116099618.70010985,,,,,,
2,rule,,,total_energy_physical,,,393225287.6133062,127867110.31017846,,,,,,
0,pid,,,average_power_physical,,,,,388540.5068515941,130393.47587615809,,,,
1,rl,,,average_power_physical,,,,,317542.4980231038,116099.61870010982,,,,
2,rule,,,average_power_physical,,,,,393225.28761330625,127867.11031017844,,,,
0,pid,,,yaw_movement_count,,,,,,,997.0,0.0,,
1,rl,,,yaw_movement_count,,,,,,,720.7,44.017799430079044,,
2,rule,,,yaw_movement_count,,,,,,,995.3,5.3758720222862415,,
0,pid,,,oscillation_count,,,,,,,,,30.7,11.916841490559111
1,rl,,,oscillation_count,,,,,,,,,122.3,13.367040726270634
2,rule,,,oscillation_count,,,,,,,,,35.5,15.436248824691113
