run,controller,total_energy_normalized,average_power_normalized,total_energy_physical,average_power_physical,yaw_movement_count,oscillation_count
1,rule,209363.05835307174,209.36305835307175,515663021.7071996,515663.0217071996,997,35
1,pid,204437.33239765116,204.43733239765115,503530916.11868525,503530.9161186853,997,27
1,rl,189399.4434627316,189.3994434627316,466492465.73838633,466492.4657383863,666,108
2,rule,98856.1024809797,98.8561024809797,243483434.56834427,243483.43456834427,997,20
2,pid,92734.63546479309,92.73463546479309,228406208.41546488,228406.20841546488,997,22
2,rl,187088.958661772,187.08895866177198,460801721.7100766,460801.72171007656,785,133
3,rule,142979.56921728232,142.97956921728232,352159914.38489497,352159.91438489495,997,21
3,pid,142589.3699896512,142.5893699896512,351198850.31575644,351198.85031575646,997,19
3,rl,80645.49281760633,80.64549281760632,198630545.6202417,198630.5456202417,747,143
4,rule,94595.51979278747,94.59551979278747,232989582.59412682,232989.5825941268,997,25
4,pid,87499.80750826164,87.49980750826164,215512781.92744505,215512.78192744506,997,27
4,rl,176814.6859319941,176.81468593199412,435496099.2026597,435496.09920265974,715,123
5,rule,114914.93507632012,114.91493507632012,283036478.0056361,283036.4780056361,997,20
5,pid,114619.11632662185,114.61911632662185,282307873.86913264,282307.87386913266,997,18
5,rl,164432.0019664645,164.4320019664645,404997441.6040395,404997.4416040395,698,108
6,rule,183476.51714105817,183.47651714105817,451904247.03156674,451904.24703156675,980,43
6,pid,181460.7456946198,181.46074569461982,446939384.5418885,446939.3845418885,997,39
6,rl,101320.36138078052,101.32036138078053,249552925.53077173,249552.92553077172,665,107
7,rule,117566.12283991327,117.56612283991326,289566376.37472695,289566.37637472694,997,29
7,pid,119676.18089981694,119.67618089981694,294763467.6080457,294763.46760804567,997,19
7,rl,130962.90579338121,130.96290579338122,322562768.5428748,322562.76854287484,738,137
8,rule,222453.31349993538,222.45331349993538,547904433.2391539,547904.4332391538,997,47
8,pid,219083.60926149721,219.0836092614972,539604822.5842396,539604.8225842396,997,47
8,rl,98648.27801640594,98.64827801640594,242971561.11640954,242971.56111640955,675,112
9,rule,228167.7829446207,228.1677829446207,561979220.8567979,561979.2208567979,997,49
9,pid,230380.27763069392,230.3802776306939,567428614.385467,567428.614385467,997,41
9,rl,97221.97774354328,97.22197774354328,239458571.22052342,239458.57122052342,741,132
10,rule,184151.26927622285,184.15126927622285,453566167.3706154,453566.1673706154,997,66
10,pid,185022.55382796482,185.02255382796483,455712148.74981546,455712.1487498155,997,48
10,rl,62712.27693260017,62.712276932600176,154460879.9450548,154460.8799450548,777,120
