index,controller,total_energy_normalized_mean,total_energy_normalized_std,metric,average_power_normalized_mean,average_power_normalized_std,total_energy_physical_mean,total_energy_physical_std,average_power_physical_mean,average_power_physical_std,yaw_movement_count_mean,yaw_movement_count_std,oscillation_count_mean,oscillation_count_std
0,pid,173830.02247259225,51933.87783505407,total_energy_normalized,,,,,,,,,,
1,rl,147284.05807816255,50589.439643486854,total_energy_normalized,,,,,,,,,,
2,rule,176557.84426024876,48606.16322957369,total_energy_normalized,,,,,,,,,,
0,pid,,,average_power_normalized,173.83002247259225,51.93387783505407,,,,,,,,
1,rl,,,average_power_normalized,147.28405807816256,50.589439643486855,,,,,,,,
2,rule,,,average_power_normalized,176.55784426024874,48.60616322957369,,,,,,,,
0,pid,,,total_energy_physical,,,428144847.31342375,127913589.83796397,,,,,,
1,rl,,,total_energy_physical,,,362761907.6418105,124602226.95563084,,,,,,
2,rule,,,total_energy_physical,,,434863495.9459324,119717400.01183264,,,,,,
0,pid,,,average_power_physical,,,,,428144.84731342376,127913.58983796397,,,,
1,rl,,,average_power_physical,,,,,362761.9076418105,124602.22695563085,,,,
2,rule,,,average_power_physical,,,,,434863.49594593246,119717.40001183265,,,,
0,pid,,,yaw_movement_count,,,,,,,997.0,0.0,,
1,rl,,,yaw_movement_count,,,,,,,964.1,33.18784918209273,,
2,rule,,,yaw_movement_count,,,,,,,997.0,0.0,,
0,pid,,,oscillation_count,,,,,,,,,28.9,5.8774522069043185
1,rl,,,oscillation_count,,,,,,,,,153.4,13.574485871172673
2,rule,,,oscillation_count,,,,,,,,,36.1,7.233410137841088
